,artistName,count,genres,popularity
362,LD,8,"['corrido', 'corridos tumbados', 'nueva musica mexicana', 'sad sierreno', 'sierreno']",59
363,Bindhumalini,8,['tamil indie'],19
364,Jesse James Solomon,8,['uk alternative hip hop'],38
365,Zola Blood,8,['vapor pop'],40
366,Nafe Smallz,8,"['afroswing', 'uk hip hop']",60
367,My Nu Leng,8,"['bass house', 'bristol electronic']",35
368,Danny L Harle,8,"['escape room', 'hyperpop', 'proto-hyperpop']",45
369,BXKS,8,['uk alternative hip hop'],32
370,Dele Sosimi,7,['afrobeat'],36
371,Vato Gonzalez,7,"['dutch house', 'electro house']",37
372,Bugzy Malone,7,"['grime', 'manchester hip hop', 'uk hip hop']",64
373,Mssingno,7,"['grimewave', 'neo grime', 'vogue', 'weightless']",24
374,7038634357,7,"['deconstructed club', 'experimental electronic', 'hypertrance']",27
375,Sir Hiss,7,"['deep dubstep', 'instrumental grime']",30
376,tstewart,7,[],26
377,Tapir!,7,[],17
378,KAM-BU,7,['uk alternative hip hop'],32
379,Sam Wills,7,['uk contemporary r&b'],56
380,Cricca Dei Balordi,7,['rap italiano old school'],9
381,Jai Paul,7,['experimental r&b'],51
382,Moonchild Sanelly,7,"['south african pop', 'south african pop dance']",49
383,Hyd,7,['trap latino'],59
384,Kenny Beats,7,"['indie hip hop', 'trap', 'underground hip hop']",64
385,Polyphia,7,['instrumental rock'],65
386,Miso Extra,7,[],30
387,Gionni Gioielli,7,['italian underground hip hop'],35
388,Blue Hawaii,7,"['chillwave', 'quebec indie']",42
389,DigDat,7,"['uk drill', 'uk hip hop']",50
390,Komonazmuk,7,['classic dubstep'],3
391,Joan Thiele,7,"['italian indie pop', 'italian pop', 'milan indie', 'r&b italiano']",42
392,George Riley,7,['indie r&b'],40
393,Dermot Kennedy,7,"['folk-pop', 'irish pop', 'uk pop']",74
394,wewantwraiths,7,"['chill drill', 'uk hip hop', 'uk melodic rap']",56
395,Kllo,7,"['aussietronica', 'indie soul']",44
396,JGrrey,7,"['alternative r&b', 'uk contemporary r&b']",46
397,Redlight,7,[],45
398,Winston Surfshirt,7,['australian r&b'],51
399,PinkPantheress,7,['bedroom pop'],79
400,Verb T,7,"['uk alternative hip hop', 'uk hip hop']",41
401,Bandokay,7,"['uk drill', 'uk hip hop']",57
402,Okay Kaya,7,['art pop'],50
403,Mykki Blanco,7,"['alternative r&b', 'escape room', 'lgbtq+ hip hop', 'trap queen']",40
404,Ms. Dynamite,7,"['uk funky', 'uk garage']",51
405,Tommy Newport,7,['kansas indie'],48
406,Uk Apache,7,['ragga jungle'],43
407,Pufuleti,7,[],25
408,Benzz,7,[],61
409,µ-Ziq,7,"['abstract', 'braindance', 'breakcore', 'deep idm', 'drill and bass', 'intelligent dance music', 'uk experimental electronic']",37
410,Young T & Bugsey,7,"['afroswing', 'grime', 'nottingham hip hop', 'uk hip hop']",57
411,Erick the Architect,7,['underground hip hop'],59
