,artistName,count,genres,popularity
872,Interpol,3,"['alternative dance', 'alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']",64
873,Kelela,3,"['afrofuturism', 'alternative r&b', 'escape room', 'experimental r&b']",53
874,love bean!,3,['scandipop'],29
875,Silver Jews,3,"['alternative country', 'alternative rock', 'chamber pop', 'gbvfi', 'indie rock', 'lo-fi', 'noise pop']",46
876,"Black Country, New Road",3,"['crank wave', 'indie rock', 'london indie', 'uk post-punk revival']",55
877,Tora,3,['indie soul'],55
878,TV On The Radio,3,"['alternative dance', 'alternative rock', 'brooklyn indie', 'chamber pop', 'indie rock', 'indietronica', 'modern rock', 'neo-synthpop']",55
879,The Temper Trap,3,"['indietronica', 'modern rock']",66
880,Kae Tempest,3,"['alternative r&b', 'crank wave', 'lgbtq+ hip hop', 'slam poetry']",45
881,Safiyyah,3,['chill r&b'],32
882,Harris Jayaraj,3,['filmi'],72
883,Horsepower Productions,3,"['2-step', 'classic dubstep', 'future garage']",15
884,D. Imman,3,['tamil pop'],62
885,deadmau5,3,"['canadian electronic', 'complextro', 'edm', 'electro house', 'pop dance', 'progressive house']",67
886,Submotion Orchestra,3,['substep'],39
887,Duke & Jones,3,['uk dance'],53
888,Jme,3,"['grime', 'instrumental grime', 'uk hip hop']",56
889,Giant Claw,3,"['collage pop', 'vaporwave']",19
890,Mano Le Tough,3,"['deep disco house', 'deep house', 'deep techno', 'electronica', 'float house', 'melodic techno', 'microhouse', 'minimal techno']",39
891,The Knocks,3,"['alternative dance', 'indie poptimism', 'nu disco']",62
892,Lorn,3,"['blackened deathcore', 'melodic metalcore', 'symphonic deathcore']",60
893,Evenings,3,"['chillwave', 'glitch pop']",34
894,DJ Marky,3,"['brazilian dnb', 'drum and bass', 'jazzy dnb', 'jungle', 'liquid funk', 'sambass']",44
895,C1,3,['uk drill'],47
896,ChildsPlay,3,"['basshall', 'dutch hip hop', 'dutch rap pop']",47
897,Ferdinand fka Left Boy,3,['austrian pop'],47
898,KiLLOWEN,3,[],41
899,Aby Coulibaly,3,['irish pop'],33
900,Major Lazer,3,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",74
901,Unknown Mortal Orchestra,3,"['art pop', 'indie rock', 'indie soul', 'indietronica', 'kiwi rock', 'neo-psychedelic', 'portland hip hop', 'psychedelic pop']",62
902,Emz,3,"['detroit hip hop', 'hip hop', 'rap']",90
903,The Whitest Boy Alive,3,"['alternative dance', 'indietronica', 'new rave']",55
904,Batu,3,[],43
905,Jessy Lanza,3,"['art pop', 'canadian electropop', 'electra', 'escape room', 'experimental r&b', 'hamilton on indie', 'spectra']",40
906,Boyish,3,['indie pop'],42
907,Yeah Yeah Yeahs,3,"['alternative dance', 'alternative rock', 'art pop', 'dance-punk', 'garage rock', 'indie rock', 'modern rock', 'neo-synthpop', 'new rave']",65
908,Lomelda,3,"['countrygaze', 'small room']",51
909,Diplo,3,"['edm', 'electro house', 'moombahton', 'pop dance']",78
910,Kaitsuu the Explorer,3,[],19
911,SHERELLE,3,['modern jungle'],28
912,Ambush Buzzworl,3,"['grime', 'uk hip hop']",40
913,SAULT,3,"['indie soul', 'pop soul']",59
